UserAgentString,Version1.7 Vendor,Version1.7 Manufacturer,Version1.7 Model,Version2.1 Vendor,Version2.1 Manufacturer,Version2.1 Model
"Mozilla/5.0 (Linux; Android 5.1.1; KFFOWI Build/LMY47O) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/41.51020.2250.0268 Safari/537.36",null,null,UnKnown,Amazon,Amazon,Fire (2015),
"Mozilla/5.0 (Linux; Android 4.4.4; SM-J110H Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-J110H,
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G531F Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-G531F,
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930T Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,T-Mobile,Samsung,SM-G930T,
"Mozilla/5.0 (Linux; Android 4.4.4; SM-S820L Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-S820L,
"Mozilla/5.0 (Linux; Android 5.0.2; SM-A500FU Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-A500FU,
"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-N920A Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-N920A,
"SpotXchange/3.0 (+http://search.spotxchange.com/spotmarket.html)",null,null,UnKnown,null,null,UnKnown,
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J500M Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-J500M,
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J700F Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",null,Samsung,UnKnown,Samsung,Samsung,SM-J700F,
